Original,Adversarial,Strategy,Success
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 complimentary minutes to any mobile + 100 complimentary texts + complimentary Camcorder respond or contact 08000930705,lexical,True
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,This is actually NOT Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,negation,False
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,or 300 minutes + call texts phone Nokia New Do free colour With free + 3510i any mobile want a 100 DeliveredTomorrow? to 08000930705 Camcorder Free you reply,shuffle,False
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,Buy Space Invaders 4 a chance 2 attain orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,lexical,True
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,This is actually NOT Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,negation,True
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,2 Invaders o2.co.uk/games Game WAP chance See Arcade settings. orig for Terms 4 a Space Games Buy No purchase 4 charge) 0 (std + Press Arcade win console.,shuffle,False
Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,lexical,False
Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,This is actually NOT Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,negation,False
Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,cash-in to is Ur now å£500 86688 Quiz currently ur cash-balance only 150p/msg maximize HMV to send - HMV1,shuffle,False
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER!! As a valued network customer you have been selected to receivea å£900 award reward! To claim contact 09061701461. Claim code KL341. Valid 12 hours only.,lexical,True
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,This is actually NOT WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,negation,False
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,network As reward! Claim have å£900 WINNER!! prize valued KL341. To receivea only. claim a 12 09061701461. call you selected to been customer code hours Valid,shuffle,False
"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text","Wan2 attain a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",lexical,False
"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text","This is actually NOT Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",negation,False
"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text","m8? 83049. 3)Unkempt. 2)Untamed, with currently Text 1)Unbreakable, 50p win a or are text Cost Meet+Greet 3 1,2 They to on 4 or what a U +std Westlife tour? Wan2",shuffle,False
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is complimentary 2 join & take part! message NOKIA to 86021 now!,lexical,True
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,This is actually NOT SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,negation,False
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,4 Txt & to take A BRAND 2 join Auction - Nokia part! up 7250 NEW auction 86021 now! NOKIA is SMS today! is FREE AUCTION,shuffle,False
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! contact The Mobile Update Co complimentary on 08002986030,lexical,False
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,This is actually NOT Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,negation,False
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Free! Mobile months latest R Call mobile to to The the Had or colour for Co FREE 11 on 08002986030 Update Update your U with mobiles entitled more? camera,shuffle,False
"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription","U can attain å£100 of Music Gift Vouchers every week starting NOW message the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",lexical,True
"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription","This is actually NOT U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",negation,False
"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription","Vouchers DRAW WIN U å£100 NOW age16.150ppermessSubscription to Music TsCs SkillGame,1Winaweek, 87066 the can starting word Txt every week of www.ldew.com Gift",shuffle,False
"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8","Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! contact MobileUpd8 on 08000839402 or call2optout/HF8",lexical,True
"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8","This is actually NOT Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8",negation,False
"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8","FREE! or with call2optout/HF8 Double 08000839402 Nokia & tariffs. SonyEricsson Bluetooth 1000 Motorola, Latest on & Orange Mins Call txts MobileUpd8 on",shuffle,False
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your credit, click the WAP link in the next message message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",lexical,True
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","This is actually NOT XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",negation,False
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","link message in use here>> click XXXMobileMovieClub: next credit, txt the your xxxmobilemovieclub.com?n=QJKGIGHJJGCBL click To WAP the or http://wap.",shuffle,False
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to attain a å£150 prize. To collect is easy. Just contact 09061743386,lexical,True
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386,This is actually NOT YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386,negation,False
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386,win easy. WON! To Just 09061743386 a HAVE prize. YOU å£150 Vodafone is customer computer our a call YOU picked has As to collect valued,shuffle,False
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. contact 08718738001 Identifier Code 41782 Expires 18/11/04,lexical,False
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,This is actually NOT PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,negation,False
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,S.I.M. Your 41782 for Statement 2003 800 Call Code 18/11/04 shows Expires points. 08718738001 07815296484 PRIVATE! Account un-redeemed Identifier,shuffle,False
We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder contact 08000930705 or respond for delivery Wed,lexical,False
We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,This is actually NOT We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,negation,False
We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,network PRICE camcorder New contact Phone HALF mins 08000930705 anytime you tried 750 of re Video Wed call for Rental delivery reply or offer any our to We,shuffle,False
Urgent! Please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,Urgent! Please contact 09061213237 from a landline. å£5000 monetary or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,lexical,False
Urgent! Please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,This is actually NOT Urgent! Please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,negation,False
Urgent! Please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,å£5000 16+ T 177 collection. a cash 4* or landline. await PO SAE call M227XY. holiday &Cs Box Urgent! from 09061213237 Please a,shuffle,False
"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..","tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of complimentary Games - with great prizesWith..",lexical,False
"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..","This is actually NOT tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",negation,False
"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..","- tddnewsletter@emc1.co.uk Dozens Free prizesWith.. from (More of Helen, games Games TheDailyDraw) Dear great with",shuffle,False
8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,8007 complimentary for 1st week! No1 Nokia tone 4 ur mob every week just message NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,lexical,False
8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,This is actually NOT 8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,negation,False
8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,Get 1st 150p/tone txt Nokia FREE NOKIA week W4 for mates and norm www.getzed.co.uk 5WQ tone ur to tell 16+ just 8007 ur 8007 No1 mob POBox every week! txting 36504 4,shuffle,False
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p","Congrats 2 mobile 3G Videophones R yours. contact 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",lexical,False
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p","This is actually NOT Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",negation,False
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p","games, R 3G 5we. mates, bx420. rentl. music, 2 now! ur yours. play 09063458130 Dload polypH java mobile Congrats Videophones ip4. call noline 150p wid videochat",shuffle,False
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,lexical,False
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,This is actually NOT U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,negation,False
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,with U-find out contact admirer a 2 they have thinks R*reveal on who make looking secret so special-call UR U is who 09058094594 who,shuffle,False
Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? respond or contact now 08000930705 for del Sat AM,lexical,True
Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,This is actually NOT Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,negation,False
Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,Camcorder? any want you 750 time 08000930705 new Sat Call a Video Reply for UNLIMITED now del mins? network AM TEXT? or handset? Do any,shuffle,False
"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'","Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. contact complimentary 0800 1956669 or text back 'help'",lexical,True
"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'","This is actually NOT Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",negation,False
"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'","back welcome. 0800 'help' 1956669 refused? Tenants still Have We å£500 been text for can å£75,000. you previously Call + Loan purpose or Homeowners any - Free help.",shuffle,False
You have an important customer service announcement from PREMIER.,You have an important customer service announcement from PREMIER.,lexical,False
You have an important customer service announcement from PREMIER.,This is actually NOT You have an important customer service announcement from PREMIER.,negation,True
You have an important customer service announcement from PREMIER.,have announcement an You important from customer service PREMIER.,shuffle,False
RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or contact 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,lexical,False
RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,This is actually NOT RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,negation,False
RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,Video call www.ringtoneking.co.uk! must info@ringtoneking.co.uk Club redeemable or help? 16+ credits be 08701237397 Pro RT-KIng Need Club>> Enjoy! You at,shuffle,False
You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on,You have WON a guaranteed å£1000 monetary or a å£2000 prize.To claim yr award contact our customer service representative on,lexical,True
You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on,This is actually NOT You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on,negation,False
You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on,å£2000 have guaranteed prize a WON prize.To yr å£1000 our on cash or claim You call service representative a customer,shuffle,False
Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED contact 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins,lexical,False
Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins,This is actually NOT Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins,negation,False
Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins,ur from or approx supply www.smsco.net a CDs of Virgin å£1.50pm Gift 09061104283 a either Mystery awarded GUARANTEED yrs Call 3mins Ts&Cs Congratulations Records,shuffle,False
U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send end to 82324. Helpline 08706091795,lexical,False
U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,This is actually NOT U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,negation,False
U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,STOP send are the the subscribed 82324. to Helpline Mobile 08706091795 in UK Content until 10 å£3 for you U best days per Service to,shuffle,False
"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer","Urgent! contact 09066612661 from landline. Your complementary 4* Tenerife Holiday or å£10,000 monetary await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",lexical,False
"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer","This is actually NOT Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",negation,False
"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer","150ppm 4* await or complementary collection Your SAE 2PX Holiday Urgent! landline. Box WA14 from PO cash Tenerife Offer 3 18+ T&Cs å£10,000 call Sender: Hol 09066612661",shuffle,False
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,Sunshine Quiz Wkly Q! attain a top Sony DVD player if u know which country Liverpool played in mid week? message ansr to 82277. å£1.50 SP:Tyrone,lexical,True
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,This is actually NOT Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,negation,False
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,if to in 82277. played a know Sony DVD Sunshine ansr Win å£1.50 player Q! country Wkly Liverpool which mid Quiz week? u SP:Tyrone top Txt,shuffle,False
